-x : 0.187680, y: 0.860200, z: 0.465290- 
-x : 0.168130, y: 1.114350, z: 0.164220- 
-x : 0.078200, y: 0.989230, z: 0.187680- 
-x : 0.089930, y: 0.668610, z: 0.735080- 
-x : 0.039100, y: 0.782000, z: 0.496570- 
-x : 0.445740, y: 0.950130, z: 0.414460- 
-x : -0.277610, y: 0.437920, z: 0.879750- 
-x : 0.402730, y: 0.840650, z: 0.398820- 
-x : 0.391000, y: 0.750720, z: 0.457470- 
-x : 0.359720, y: 0.789820, z: 0.512210- 
-x : 0.387090, y: 0.840650, z: 0.351900- 
-x : 0.512210, y: 0.742900, z: 0.379270- 
-x : 0.461380, y: 0.844560, z: 0.195500- 
-x : 0.594320, y: 0.797640, z: -0.043010- 
-x : 0.711620, y: 0.832830, z: -0.312800- 
-x : 0.500480, y: 0.907120, z: -0.109480- 
-x : 0.473110, y: 0.860200, z: -0.078200- 
-x : 0.218960, y: 0.844560, z: 0.035190- 
-x : 0.211140, y: 0.899300, z: 0.144670- 
-x : 0.140760, y: 0.891480, z: 0.371450- 
-x : -0.011730, y: 0.871930, z: 0.461380- 
-x : -0.093840, y: 0.825010, z: 0.547400- 
-x : -0.121210, y: 0.832830, z: 0.602140- 
-x : -0.129030, y: 0.813280, z: 0.586500- 
-x : -0.261970, y: 0.770270, z: 0.598230- 
-x : -0.301070, y: 0.692070, z: 0.645150- 
-x : -0.179860, y: 0.891480, z: 0.402730- 
-x : 0.019550, y: 0.793730, z: 0.402730- 
-x : -0.089930, y: 0.926670, z: 0.136850- 
-x : 0.101660, y: 0.918850, z: 0.074290- 
-x : 0.101660, y: 0.977500, z: -0.121210- 
-x : 0.093840, y: 0.989230, z: -0.074290- 
-x : 0.086020, y: 0.969680, z: -0.043010- 
-x : 0.074290, y: 1.020510, z: -0.089930- 
-x : 0.105570, y: 0.977500, z: -0.132940- 
-x : 0.148580, y: 0.938400, z: -0.140760- 
-x : 0.011730, y: 0.907120, z: -0.043010- 
-x : -0.324530, y: 1.020510, z: 0.238510- 
-x : -0.113390, y: 0.930580, z: 0.347990- 
-x : -0.289340, y: 0.879750, z: 0.441830- 
-x : -0.086020, y: 0.907120, z: 0.336260- 
-x : -0.089930, y: 0.926670, z: 0.297160- 
-x : -0.086020, y: 0.942310, z: 0.304980- 
-x : -0.101660, y: 0.887570, z: 0.340170- 
-x : -0.140760, y: 0.938400, z: 0.332350- 
-x : -0.125120, y: 0.938400, z: 0.332350- 
-x : -0.132940, y: 0.938400, z: 0.293250- 
-x : -0.320620, y: 0.887570, z: 0.387090- 
-x : -0.156400, y: 0.938400, z: 0.336260- 
-x : -0.168130, y: 1.016600, z: 0.308890- 
-x : 0.109480, y: 0.895390, z: 0.172040- 
-x : 0.136850, y: 1.032240, z: 0.125120- 
-x : 0.050830, y: 1.020510, z: 0.195500- 
-x : 0.058650, y: 0.946220, z: 0.234600- 
-x : 0.109480, y: 0.938400, z: 0.273700- 
-x : 0.203320, y: 0.789820, z: 0.363630- 
-x : 0.359720, y: 0.903210, z: 0.410550- 
-x : 0.516120, y: 0.672520, z: 0.613870- 
-x : 0.539580, y: 0.578680, z: 0.606050- 
-x : 0.504390, y: 0.613870, z: 0.590410- 
-x : 0.453560, y: 0.652970, z: 0.508300- 
-x : -0.363630, y: 0.883660, z: -0.195500- 
-x : -0.469200, y: 0.664700, z: -0.371450- 
-x : -0.731170, y: 0.539580, z: -0.473110- 
-x : -0.762450, y: 0.445740, z: -0.484840- 
-x : -0.723350, y: 0.594320, z: -0.434010- 
-x : -0.359720, y: 0.868020, z: -0.093840- 
-x : -0.109480, y: 0.789820, z: 0.516120- 
-x : 0.265880, y: 0.418370, z: 0.832830- 
-x : 0.434010, y: 0.387090, z: 0.914940- 
-x : 0.406640, y: 0.293250, z: 0.868020- 
-x : 0.531760, y: 0.320620, z: 0.821100- 
-x : 0.582590, y: 0.152490, z: 0.969680- 
-x : 0.293250, y: 0.856290, z: 0.125120- 
-x : 0.285430, y: 0.832830, z: -0.050830- 
-x : 0.324530, y: 0.750720, z: -0.289340- 
-x : 0.422280, y: 0.754630, z: -0.469200- 
-x : 0.477020, y: 0.699890, z: -0.484840- 
-x : 0.426190, y: 0.664700, z: -0.566950- 
-x : 0.304980, y: 0.723350, z: -0.496570- 
-x : 0.168130, y: 0.782000, z: -0.222870- 
-x : 0.211140, y: 0.914940, z: 0.152490- 
-x : 0.273700, y: 0.782000, z: 0.418370- 
-x : 0.308890, y: 0.903210, z: 0.312800- 
-x : 0.367540, y: 0.723350, z: 0.551310- 
-x : 0.488750, y: 0.762450, z: 0.394910- 
-x : 0.559130, y: 0.766360, z: -0.031280- 
-x : 0.297160, y: 0.805460, z: -0.449650- 
-x : 0.461380, y: 0.672520, z: -0.586500- 
-x : 0.457470, y: 0.598230, z: -0.590410- 
-x : 0.328440, y: 0.684250, z: -0.578680- 
-x : 0.394910, y: 0.844560, z: 0.191590- 
-x : 0.488750, y: 0.832830, z: 0.277610- 
-x : 0.488750, y: 0.735080, z: 0.434010- 
-x : 0.625600, y: 0.664700, z: 0.398820- 
